Location,London borough,Post town,Postcode district,Dial code,OS grid ref,In inner london,,
Raynes Park,Merton,LONDON,SW20,20,TQ235685,No,,
Redbridge,Redbridge,ILFORD,IG4,20,TQ425885,No,,
Richmond,Richmond upon Thames,RICHMOND,"TW9, TW10",20,TQ185745,No,,
Riddlesdown,Croydon,PURLEY,CR8,20,TQ327608,No,,
Roehampton,Wandsworth,LONDON,SW15,20,TQ225745,Yes,,
Romford,Havering,ROMFORD,RM1,1708,TQ510887,No,,
Rotherhithe,Southwark,LONDON,SE16,20,TQ358796,Yes,,
Ruislip,Hillingdon,RUISLIP,HA4,1895,TQ085875,No,,
Rush Green,Barking and Dagenham,ROMFORD,RM7,20,TQ505875,No,,
Ruxley,"Bexley, Bromley","SIDCUP, ORPINGTON","DA14, BR5","020, 01689",TQ485704,No,,
Sanderstead,Croydon,SOUTH CROYDON,CR2,20,TQ337613,No,,
Sands End,Hammersmith and Fulham,LONDON,SW6,20,TQ265765,Yes,,
Selhurst,Croydon,LONDON,SE25,20,TQ340684,No,,
Selsdon,Croydon,SOUTH CROYDON,CR2,20,TQ355625,No,,
Seven Kings,Redbridge,ILFORD,IG3,20,TQ455875,No,,
Seven Sisters,Haringey,LONDON,N15,20,TQ334888,No,,
Shacklewell,Hackney,LONDON,"E8, N16",20,TQ335855,Yes,,
Shadwell,Tower Hamlets,LONDON,E1,20,TQ355805,Yes,,
Shepherd's Bush,Hammersmith and Fulham,LONDON,W12,20,TQ235798,Yes,,
Shirley,Croydon,CROYDON,CR0,20,TQ361658,No,,
Shooter's Hill,Greenwich,LONDON,SE18,20,TQ435765,Yes,,
Shoreditch,Hackney,LONDON,N1,20,TQ334822,Yes,,
Sidcup,Bexley,SIDCUP,"DA14, DA15",20,TQ461718,No,,
Silvertown,Newham,LONDON,E16,20,TQ415795,No,,
Sipson,Hillingdon,WEST DRAYTON,UB7,20,TQ075785,No,,
Slade Green,Bexley,ERITH,DA8,1322,TQ525765,No,,
Snaresbrook,"Redbridge, Waltham Forest",LONDON,E11,20,TQ395895,No,,
Soho,Westminster,LONDON,W1,20,TQ295815,Yes,,
Somerstown,Camden,LONDON,NW1,20,TQ295825,Yes,,
South Croydon,Croydon,SOUTH CROYDON,CR2,20,TQ325633,No,,
South Hackney,Hackney,LONDON,E9,20,TQ355845,Yes,,
South Harrow,Harrow,HARROW,HA2,20,TQ143863,No,,
South Hornchurch,Havering,RAINHAM,RM13,1708,TQ515835,No,,
South Kensington,Kensington and Chelsea,LONDON,"SW7, SW3, SW5",20,TQ265785,Yes,,
South Norwood,Croydon,LONDON,SE25,20,TQ340684,No,,
South Ruislip,Hillingdon,RUISLIP,HA4,"01895, 020",TQ115855,No,,
South Wimbledon,Merton,LONDON,SW19,20,TQ255705,No,,
South Woodford,Redbridge,LONDON,E18,20,TQ405905,No,,
South Tottenham,Haringey,LONDON,"N15, N17",20,TQ335885,No,,
Southend,Lewisham,LONDON,SE6,20,TQ373721,Yes,,
Southall,Ealing,SOUTHALL,"UB1, UB2",20,TQ125805,No,,
Southborough,Bromley,BROMLEY,BR2,20,TQ423676,No,,
Southfields,Wandsworth,LONDON,"SW18, SW19",20,TQ255735,Yes,,
Southgate,Enfield,LONDON,N14,20,TQ296942,No,,
Spitalfields,Tower Hamlets,LONDON,E1,20,TQ335815,Yes,,
St Helier,Merton,MORDEN,SM4,20,TQ265664,No,,
St James's,Westminster,LONDON,SW1,20,TQ295805,Yes,,
St Margarets,Richmond upon Thames,TWICKENHAM,TW1,20,TQ168742,No,,
St Giles,Camden,LONDON,WC2,20,TQ305815,Yes,,
St Johns,Lewisham,LONDON,SE4,20,TQ375765,Yes,,
St John's Wood,Westminster,LONDON,NW8,20,TQ265835,Yes,,
St Luke's,Islington,LONDON,EC1,20,TQ324824,Yes,,
St Mary Cray,Bromley,ORPINGTON,BR5,1689,TQ466680,No,,
St Pancras,Camden,LONDON,WC1,20,TQ301825,Yes,,
St Paul's Cray,Bromley,ORPINGTON,BR5,1689,TQ466688,No,,
Stamford Hill,Hackney,LONDON,"N15, N16",20,TQ335875,Yes,,
Stanmore,Harrow,STANMORE,HA7,20,TQ195885,No,,
Stepney,Tower Hamlets,LONDON,E1,20,TQ355814,Yes,,
Stockwell,Lambeth,LONDON,"SW8, SW9",20,TQ305755,Yes,,
Stoke Newington,Hackney,LONDON,N16,20,TQ335865,Yes,,
Stonebridge,Brent,LONDON,NW10,20,TQ203839,No,,
Stratford,Newham,LONDON,E15,20,TQ385845,No,,
Strawberry Hill,Richmond upon Thames,TWICKENHAM,"TW1, TW2",20,TQ155725,No,,
Streatham,Lambeth,LONDON,SW16,20,TQ305715,Yes,,
Stroud Green,Haringey,LONDON,N4,20,TQ311881,No,,
Sudbury,"Brent, Ealing, Harrow","HARROW, WEMBLEY","HA0, HA1",20,TQ165852,No,,
Sundridge,Bromley,BROMLEY,BR1,20,TQ406702,No,,
Surbiton,Kingston upon Thames,SURBITON,"KT5, KT6",20,TQ180673,No,,
Surrey Quays,Southwark,LONDON,SE16,20,TQ356789,Yes,,
Sutton,Sutton,SUTTON,"SM1, SM2",20,TQ255645,No,,
Swiss Cottage,Camden,LONDON,NW3,20,TQ266842,Yes,,
"Sydenham (also Lower Sydenham,
Upper Sydenham)","Lewisham, Bromley",LONDON,SE26,20,TQ352714,Yes,,
Sydenham Hill,"Lewisham, Southwark",LONDON,"SE21, SE26",20,TQ352714,Yes,,
Teddington,Richmond upon Thames,TEDDINGTON,TW11,20,TQ159708,No,,
Temple,"City of London, Westminster",LONDON,"EC4, WC2",20,TQ311809,Yes,,
Temple Fortune,Barnet,BARNET,NW11,20,TQ245955,No,,
Thamesmead,"Bexley, Greenwich","LONDON, ERITH","SE28, SE2, DA18",20,TQ475805,Yes,,
Thornton Heath,Croydon,THORNTON HEATH,CR7,20,TQ315685,No,,
Tokyngton,Brent,WEMBLEY,HA9,20,TQ195845,No,,
Tolworth,Kingston upon Thames,SURBITON,"KT5, KT6",20,TQ197659,No,,
Tooting,Wandsworth,LONDON,SW17,20,TQ275715,Yes,,
Tooting Bec,Wandsworth,LONDON,SW17,20,TQ275715,Yes,,
Tottenham,Haringey,LONDON,"N15, N17",20,TQ335905,No,,
Tottenham Green,Haringey,LONDON,N15,20,TQ337892,No,,
Tottenham Hale,Haringey,LONDON,"N15, N17",20,TQ345895,No,,
Totteridge,Barnet,LONDON,N20,20,TQ245945,No,,
Tower Hill,Tower Hamlets,LONDON,EC3,20,TQ333806,Yes,,
Tufnell Park,"Islington, Camden",LONDON,"N7, N19",20,TQ295855,Yes,,
Tulse Hill,Lambeth,LONDON,"SW2, SE27",20,TQ315735,Yes,,
Turnpike Lane,Haringey,LONDON,N8,20,TQ305905,No,,
Twickenham,Richmond upon Thames,TWICKENHAM,"TW1, TW2",20,TQ155735,No,,
Upminster,Havering,UPMINSTER,RM14,1708,TQ560865,No,,
Upminster Bridge,Havering,HORNCHURCH,RM12,1708,TQ552867,No,,
Upper Clapton,Hackney,LONDON,E5,20,TQ345875,Yes,,
Upper Holloway,Islington,LONDON,N19,20,TQ297867,Yes,,
Upper Norwood,Croydon,LONDON,SE19,20,TQ329707,No,,
Upper Ruxley,"Bexley, Bromley","SIDCUP, ORPINGTON","DA14, BR5","020, 01689",TQ4970,No,,
Upper Walthamstow,Waltham Forest,LONDON,E17,20,TQ385895,No,,
Upton,Bexley,BEXLEYHEATH,DA6,20,TQ485755,No,,
Upton Park,Newham,LONDON,"E6, E13",20,TQ405837,No,,
Uxbridge,Hillingdon,UXBRIDGE,UB8,1895,TQ055835,No,,
Vauxhall,Lambeth,LONDON,SW8,20,TQ305785,Yes,,
Waddon,Croydon,CROYDON,CR0,20,TQ315645,No,,
Wallington,Sutton,WALLINGTON,SM6,20,TQ294645,No,,
Walthamstow,Waltham Forest,LONDON,E17,20,TQ375865,No,,
Walthamstow Village,Waltham Forest,LONDON,E17,20,TQ385895,No,,
Walworth,Southwark,LONDON,SE17,20,TQ325785,Yes,,
Wandsworth,Wandsworth,LONDON,SW18,20,TQ255755,Yes,,
Wanstead,Redbridge,LONDON,E11,20,TQ405885,No,,
Wapping,Tower Hamlets,LONDON,E1,20,TQ345805,Yes,,
Wealdstone,Harrow,HARROW,HA3,20,TQ155895,No,,
Well Hall,Greenwich,LONDON,SE9,20,TQ425751,Yes,,
Welling,Bexley,WELLING,DA16,20,TQ465755,No,,
Wembley,Brent,WEMBLEY,"HA0, HA9",20,TQ175855,No,,
Wembley Park,Brent,WEMBLEY,HA9,20,TQ192863,No,,
Wennington,Havering,RAINHAM,RM13,1708,TQ545805,No,,
West Brompton,Kensington and Chelsea,LONDON,SW10,20,TQ253779,Yes,,
West Drayton,Hillingdon,WEST DRAYTON,UB7,1895,TQ065795,No,,
West Ealing,Ealing,LONDON,W13,20,TQ153802,No,,
West Green,Haringey,LONDON,N15,20,TQ324892,No,,
West Hackney,Hackney,LONDON,N16,20,TQ340865,Yes,,
West Ham,Newham,LONDON,"E13, E15",20,TQ405837,No,,
West Hampstead,Camden,LONDON,NW6,20,TQ255855,Yes,,
West Harrow,Harrow,HARROW,HA2,20,TQ145875,No,,
West Heath,Bexley,LONDON,SE2,20,TQ475775,No,,
West Hendon,Barnet,LONDON,NW9,20,TQ215885,No,,
West Kensington,Hammersmith and Fulham,LONDON,W14,20,TQ246783,Yes,,
West Norwood,Lambeth,LONDON,SE27,20,TQ325715,Yes,,
West Wickham,Bromley,LONDON,BR4,20,TQ379660,No,,
Westcombe Park,Greenwich,LONDON,SE3,20,TQ402780,Yes,,
Westminster,Westminster,LONDON,SW1,20,TQ295795,Yes,,
Whetstone,Barnet,LONDON,N20,20,TQ265935,No,,
White City,Hammersmith and Fulham,LONDON,W12,20,TQ233807,Yes,,
Whitechapel,Tower Hamlets,LONDON,E1,20,TQ335815,Yes,,
Widmore (also Widmore Green),Bromley,BROMLEY,BR1,20,TQ411691,No,,
Whitton,Richmond upon Thames,TWICKENHAM,TW2,20,TQ145735,No,,
Willesden,Brent,LONDON,NW10,20,TQ227846,No,,
Wimbledon,Merton,LONDON,"SW19, SW20",20,TQ239709,No,,
Winchmore Hill,Enfield,LONDON,N21,20,TQ315945,No,,
Wood Green,Haringey,LONDON,N22,20,TQ305905,No,,
Woodford,Redbridge,LONDON,"IG8, E18",20,TQ405915,No,,
Woodford Green,"Redbridge, Waltham Forest","LONDON, WOODFORD GREEN",IG8,20,TQ405915,No,,
Woodlands,Hounslow,ISLEWORTH,TW7,20,TQ155755,No,,
Woodside,Croydon,CROYDON,CR0,20,TQ344672,No,,
Woodside Park,Barnet,LONDON,N12,20,TQ256925,No,,
Woolwich,Greenwich,LONDON,SE18,20,TQ435795,Yes,,
Worcester Park,"Sutton, Kingston upon Thames",WORCESTER PARK,KT4,20,TQ225655,No,,
Wormwood Scrubs,Hammersmith and Fulham,LONDON,W12,20,TQ225815,Yes,,
Yeading,Hillingdon,HAYES,UB4,20,TQ115825,No,,
Yiewsley,Hillingdon,WEST DRAYTON,UB7,20,TQ063804,No,,
